Families	N_species
Abderitidae	0
Abrocomidae	10
Acaremyidae	0
Achaenodontidae	0
Acrobatidae	3
Adalatheriidae	0
Adapidae	0
Adapisoricidae	0
Adapisoriculidae	0
Adianthidae	0
Aegyptonycteridae	0
Aetiocetidae	0
Afrohypselodontidae	0
Afrotarsiidae	0
Agorophiidae	0
Agoutidae	2
Agriochoeridae	0
Ailuridae	2
Alagomyidae	0
Albionbaataridae	0
Albireonidae	0
Alcidedorbignyidae	0
Allodelphinidae	0
Allodontidae	0
Allomyidae	0
Alphadontidae	0
Ambulocetidae	0
Amphicyonidae	0
Amphidontidae	0
Amphilemuridae	0
Amphilestidae	0
Amphimerycidae	0
Amphipithecidae	0
Amphitheriidae	0
Amynodontidae	0
Anagalidae	0
Anatoliadelphyidae	0
Anomalomyidae	0
Anomaluridae	6
Anoplotheriidae	0
Anthracotheriidae	0
Antilocapridae	11
Apatemyidae	0
Apheliscidae	0
Aplodontidae	1
Apternodontidae	0
Aquiladelphidae	0
Arboroharamiyidae	0
Archaeohyracidae	0
Archaeolambdidae	0
Archaeolemuridae	5
Archaeomerycidae	0
Archaeonycteridae	0
Archaeopithecidae	0
Archicebidae	0
Arctocyonidae	0
Arctostylopidae	0
Arginbaataridae	0
Argyrolagidae	0
Armintomyidae	0
Arsinoitheriidae	0
Ashleycetidae	0
Astrapotheriidae	0
Atelidae	27
Azibiidae	0
Balaenidae	5
Balaenopteridae	11
Balbaridae	0
Barbourofelidae	0
Barylambdidae	0
Barytheriidae	0
Basilosauridae	0
Bathyergidae	21
Bemalambdidae	0
Bobolestidae	0
Boffiidae	0
Bonapartheriidae	0
Bondesiidae	0
Borhyaenidae	0
Bovidae	348
Bradypodidae	4
Brontotheriidae	0
Burramyidae	5
Caenolestidae	7
Cainotheriidae	0
Calomyscidae	8
Camelidae	20
Campanorcidae	0
Canidae	65
Capromyidae	17
Carodniidae	0
Carpolestidae	0
Casamiquelidae	0
Castoridae	6
Caviidae	29
Cebidae	89
Cebochoeridae	0
Cephalomyidae	0
Cercopithecidae	169
Cervidae	123
Cetotheriidae	1
Chalicotheriidae	0
Changlelestidae	0
Chapattimyidae	0
Cheirogaleidae	40
Chinchillidae	7
Chlamyphoridae	13
Choeropotamidae	0
Chriacidae	0
Chrysochloridae	21
Cimolestidae	0
Cimolodontidae	0
Cimolomyidae	0
Climacoceratidae	0
Coendidae	0
Conoryctidae	0
Corriebaataridae	0
Coryphodontidae	0
Cricetidae	849
Ctenodactylidae	5
Ctenomyidae	74
Cuniculidae	2
Cyclopedidae	1
Cylindrodontidae	0
Cyriacotheriidae	0
Dalpiazinidae	0
Dasypodidae	17
Dasyproctidae	15
Dasyuridae	81
Decipomyidae	0
Deinotheriidae	1
Delphinidae	41
Deltatheridiidae	0
Dendropithecidae	0
Deperetellidae	0
Derorhynchidae	0
Desmatophocidae	0
Desmostylidae	0
Diacodexeidae	0
Diatomyidae	1
Dichobunidae	0
Didelphidae	113
Didolodontidae	0
Dimylidae	0
Dinomyidae	1
Dipodidae	37
Diprotodontidae	5
Distylomyidae	0
Djadochtatheriidae	0
Djebelemuridae	0
Donodontidae	0
Dryolestidae	0
Dugongidae	3
Echimyidae	98
Echinomyidae	0
Eggysodontidae	0
Ekgmowechashalidae	0
Ektopodontidae	0
Elephantidae	23
Eleutherodontidae	0
Emballonuridae	54
Entelodontidae	0
Eoastrapostylopidae	0
Eobaataridae	0
Eocardiidae	0
Eomyidae	0
Eomysticetidae	0
Eoplatanistidae	0
Eosimiidae	0
Epoicotheriidae	0
Equidae	45
Erethizontidae	19
Erinaceidae	25
Escavadodontidae	0
Eschrichtiidae	2
Esthonychidae	0
Eucosmodontidae	0
Eurhinodelphinidae	0
Eurymylidae	0
Eutypomyidae	0
Felidae	61
Florentiamyidae	0
Galagidae	20
Gaudeamuridae	0
Gelocidae	0
Geolabididae	0
Geomyidae	49
Giraffidae	9
Glasbiidae	0
Gliridae	36
Glyptatelidae	0
Glyptodontidae	8
Gobiconodontidae	0
Gobiomyidae	0
Gomphotheriidae	11
Gypsonictopidae	0
Hahnodontidae	0
Hahnotheriidae	0
Hapalodectidae	0
Haplodontheriidae	1
Haramyidae	0
Harpyodidae	0
Hassianycterididae	0
Hegetotheriidae	0
Helaletidae	0
Heliscomyidae	0
Helohyidae	0
Henosferidae	0
Henricosborniidae	0
Herpestidae	36
Herpetotheriidae	0
Hesperomyidae	0
Heteromyidae	71
Heterosoricidae	0
Hippopotamidae	18
Hipposideridae	88
Holoclemensiidae	0
Homacodontidae	0
Homalodotheriidae	0
Hominidae	17
Homunculidae	0
Horolodectidae	0
Hyaenidae	12
Hyaenodontidae	0
Hyainailouridae	0
Hydrochoeridae	4
