Family	N_Species
acanthaceae	4000
achariaceae	155
actinidiaceae	360
adoxaceae	225
alismataceae	115
alstroemeriaceae	254
altingiaceae	15
amaranthaceae	2040
amaryllidaceae	1600
anacardiaceae	860
annonaceae	2500
apiaceae	3575
apocynaceae	5100
aponogetonaceae	56
aquifoliaceae	500
araceae	3750
araliaceae	1650
arecaceae	2600
aristolochiaceae	500
asparagaceae	2900
asphodelaceae	900
asteliaceae	37
asteraceae	24700
atherospermataceae	16
berberidaceae	700
betulaceae	167
bignoniaceae	870
bixaceae	23
boraginaceae	2535
brassicaceae	3628
burseraceae	615
butomaceae	1
buxaceae	123
cabombaceae	6
calophyllaceae	475
calycanthaceae	10
campanulaceae	2300
canellaceae	23
cannabaceae	100
cannaceae	10
capparaceae	324
caprifoliaceae	825
caryophyllaceae	2625
casuarinaceae	91
celastraceae	1350
ceratophyllaceae	4
cercidiphyllaceae	2
chrysobalanaceae	533
cleomaceae	346
clethraceae	75
clusiaceae	750
combretaceae	530
commelinaceae	731
connaraceae	180
convolvulaceae	1660
coriariaceae	14
cornaceae	85
cucurbitaceae	965
cunoniaceae	330
cyclanthaceae	230
cyperaceae	5500
cyrillaceae	2
diapensiaceae	12
dichapetalaceae	170
dilleniaceae	430
dioscoreaceae	715
dipterocarpaceae	695
droseraceae	180
ebenaceae	800
elaeagnaceae	60
elaeocarpaceae	615
elatinaceae	35
ericaceae	4250
erythroxylaceae	242
eucommiaceae	1
euphorbiaceae	6252
eupteleaceae	2
fabaceae	19500
fagaceae	927
garryaceae	25
gentianaceae	1735
grossulariaceae	150
haloragaceae	145
hamamelidaceae	86
heliconiaceae	194
hernandiaceae	58
humiriaceae	56
hydrangeaceae	223
hydrocharitaceae	135
hypericaceae	590
icacinaceae	165
iteaceae	18
juglandaceae	50
juncaceae	464
lamiaceae	7530
lardizabalaceae	40
lauraceae	2850
lecythidaceae	355
linaceae	255
loganiaceae	390
loranthaceae	1050
lythraceae	620
magnoliaceae	294
malpighiaceae	1315
malvaceae	4225
marantaceae	570
melastomataceae	5115
meliaceae	600
menispermaceae	440
menyanthaceae	60
monimiaceae	217
moraceae	1180
musaceae	91
myricaceae	57
myristicaceae	520
myrtaceae	5950
nelumbonaceae	3
nothofagaceae	43
nyctaginaceae	400
nymphaeaceae	70
ochnaceae	550
olacaceae	180
oleaceae	790
onagraceae	656
orchidaceae	28000
oxalidaceae	570
pandanaceae	982
papaveraceae	775
passifloraceae	980
paulowniaceae	8
pedaliaceae	75
pentaphylacaceae	330
phyllanthaceae	2050
phytolaccaceae	33
picrodendraceae	96
piperaceae	3700
pittosporaceae	245
plantaginaceae	1900
platanaceae	8
poaceae	12000
Polemoniaceae	350
polygalaceae	900
polygonaceae	1200
pontederiaceae	34
posidoniaceae	9
potamogetonaceae	110
primulaceae	2790
proteaceae	1660
putranjivaceae	216
ranunculaceae	2346
Restionaceae	572
rhamnaceae	950
rhizophoraceae	147
ripogonaceae	6
rosaceae	2950
rubiaceae	13620
ruppiaceae	8
rutaceae	2070
sabiaceae	66
salicaceae	1220
santalaceae	1000
sapindaceae	1860
sapotaceae	1273
saururaceae	6
saxifragaceae	640
scheuchzeriaceae	1
schisandraceae	85
schoepfiaceae	58
scrophulariaceae	1830
simaroubaceae	108
smilacaceae	255
solanaceae	2600
stachyuraceae	8
staphyleaceae	45
stemonaceae	37
strasburgeriaceae	2
strelitziaceae	7
styracaceae	160
symplocaceae	260
tapisciaceae	6
theaceae	240
thymelaeaceae	913
ticodendraceae	1
torricelliaceae	10
trigoniaceae	28
Triuridaceae	55
trochodendraceae	2
typhaceae	51
ulmaceae	45
urticaceae	2625
verbenaceae	1000
violaceae	980
vitaceae	910
vochysiaceae	217
winteraceae	65
xyridaceae	399
zingiberaceae	1600
zygophyllaceae	285
