time	acanthaceae	achariaceae	actinidiaceae	adoxaceae	alismataceae	alstroemeriaceae	altingiaceae	amaranthaceae	amaryllidaceae	anacardiaceae	annonaceae	apiaceae	apocynaceae	aponogetonaceae	aquifoliaceae	araceae	araliaceae	arecaceae	aristolochiaceae	asparagaceae	asphodelaceae	asteliaceae	asteraceae	atherospermataceae	berberidaceae	betulaceae	bignoniaceae	bixaceae	boraginaceae	brassicaceae	burseraceae	butomaceae	buxaceae	cabombaceae	calophyllaceae	calycanthaceae	campanulaceae	canellaceae	cannabaceae	cannaceae	capparaceae	caprifoliaceae	caryophyllaceae	casuarinaceae	celastraceae	ceratophyllaceae	cercidiphyllaceae	chrysobalanaceae	cleomaceae	clethraceae	clusiaceae	combretaceae	commelinaceae	connaraceae	convolvulaceae	coriariaceae	cornaceae	cucurbitaceae	cunoniaceae	cyclanthaceae	cyperaceae	cyrillaceae	diapensiaceae	dichapetalaceae	dilleniaceae	dioscoreaceae	dipterocarpaceae	droseraceae	ebenaceae	elaeagnaceae	elaeocarpaceae	elatinaceae	ericaceae	erythroxylaceae	eucommiaceae	euphorbiaceae	eupteleaceae	fabaceae	fagaceae	garryaceae	gentianaceae	grossulariaceae	haloragaceae	hamamelidaceae	heliconiaceae	hernandiaceae	humiriaceae	hydrangeaceae	hydrocharitaceae	hypericaceae	icacinaceae	iteaceae	juglandaceae	juncaceae	lamiaceae	lardizabalaceae	lauraceae	lecythidaceae	linaceae	loganiaceae	loranthaceae	lythraceae	magnoliaceae	malpighiaceae	malvaceae	marantaceae	melastomataceae	meliaceae	menispermaceae	menyanthaceae	monimiaceae	moraceae	musaceae	myricaceae	myristicaceae	myrtaceae	nelumbonaceae	nothofagaceae	nyctaginaceae	nymphaeaceae	ochnaceae	olacaceae	oleaceae	onagraceae	orchidaceae	oxalidaceae	pandanaceae	papaveraceae	passifloraceae	paulowniaceae	pedaliaceae	pentaphylacaceae	phyllanthaceae	phytolaccaceae	picrodendraceae	piperaceae	pittosporaceae	plantaginaceae	platanaceae	poaceae	Polemoniaceae	polygalaceae	polygonaceae	pontederiaceae	posidoniaceae	potamogetonaceae	primulaceae	proteaceae	putranjivaceae	ranunculaceae	Restionaceae	rhamnaceae	rhizophoraceae	ripogonaceae	rosaceae	rubiaceae	ruppiaceae	rutaceae	sabiaceae	salicaceae	santalaceae	sapindaceae	sapotaceae	saururaceae	saxifragaceae	scheuchzeriaceae	schisandraceae	schoepfiaceae	scrophulariaceae	simaroubaceae	smilacaceae	solanaceae	stachyuraceae	staphyleaceae	stemonaceae	strasburgeriaceae	strelitziaceae	styracaceae	symplocaceae	tapisciaceae	theaceae	thymelaeaceae	ticodendraceae	torricelliaceae	trigoniaceae	Triuridaceae	trochodendraceae	typhaceae	ulmaceae	urticaceae	verbenaceae	violaceae	vitaceae	vochysiaceae	winteraceae	xyridaceae	zingiberaceae	zygophyllaceae
2.5	3	0	0	2	0	0	0	3	0	2	1	0	0	0	1	1	0	5	0	0	0	0	3	1	0	4	0	0	2	0	1	0	0	1	1	0	0	0	4	0	0	0	2	0	0	0	0	0	0	0	1	4	2	0	0	0	1	0	3	0	1	0	0	0	0	0	5	0	0	0	1	0	3	0	0	2	0	18	10	0	0	0	2	1	0	0	0	0	0	0	0	0	6	0	0	0	4	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	1	0	1	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	9	0	0	0	1	1	0	3	0	0	0	0	1	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0
5	1	0	2	8	7	0	5	6	0	4	0	5	5	0	8	6	8	6	0	0	0	0	6	0	3	25	1	0	2	0	0	0	1	1	0	0	1	0	2	0	1	4	8	0	1	3	2	2	0	0	1	5	1	2	0	2	13	1	2	0	60	0	0	1	0	0	4	0	0	1	0	2	15	0	1	8	0	71	43	0	1	2	6	5	0	0	1	0	11	8	2	0	38	0	21	0	19	0	0	0	0	14	5	0	9	0	0	3	2	3	0	6	0	7	0	5	0	1	0	6	0	3	3	2	0	1	0	1	0	1	0	3	1	1	0	1	2	5	1	3	0	0	13	1	0	22	3	1	0	21	0	11	1	0	43	7	0	8	4	20	1	27	1	1	0	1	1	0	0	1	1	4	1	4	1	0	0	3	7	0	2	2	0	0	0	0	0	14	9	6	0	6	9	0	0	0	1	1
7.5	0	0	1	1	1	0	2	1	0	1	0	1	0	0	2	1	1	0	0	0	0	0	1	0	1	14	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0	4	0	0	0	12	0	0	0	0	0	2	1	1	0	0	0	3	0	1	1	0	9	15	0	0	2	1	1	0	0	0	0	0	1	0	0	14	0	2	0	5	1	0	0	0	4	2	0	1	0	1	1	1	1	0	1	0	2	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	4	0	0	0	3	0	0	1	1	0	0	1	0	0	0	0	10	0	0	1	2	9	3	9	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	1	5	0	2	0	0	0	0	0	0	0	5	2	0	1	4	0	0	0	0	0
10	0	0	2	10	5	0	7	1	0	22	6	3	3	0	14	12	7	3	1	0	0	0	2	1	4	77	1	0	7	1	2	1	3	4	2	0	0	0	8	0	0	5	4	0	9	8	1	1	1	1	0	14	0	0	0	4	24	1	0	0	31	1	0	0	0	1	25	3	6	0	1	0	21	0	1	11	1	93	117	1	0	0	5	8	1	0	1	3	6	4	0	0	46	0	8	0	43	3	1	4	2	23	11	1	6	0	1	2	5	4	0	14	0	18	0	3	1	3	1	10	0	0	15	0	0	0	0	0	0	0	2	5	3	0	0	0	1	1	4	13	0	0	4	0	0	25	5	2	0	2	0	26	1	0	50	4	1	11	8	48	2	51	6	0	0	0	3	0	0	8	4	3	0	7	0	1	0	5	12	0	3	2	0	0	1	0	1	14	16	5	1	4	12	0	0	0	2	0
12.5	0	0	0	2	1	0	3	0	0	3	0	1	1	0	2	7	4	2	0	0	0	0	1	0	1	18	0	0	0	0	0	1	2	0	0	0	0	0	3	0	0	1	0	0	0	3	1	0	1	0	0	1	1	1	0	0	6	0	0	0	8	0	0	0	0	0	0	3	2	0	0	0	2	0	0	0	0	14	28	0	0	1	2	4	0	0	1	0	4	3	0	0	10	0	4	0	22	0	0	0	0	5	0	1	2	1	0	1	0	1	0	5	0	7	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	3	1	0	0	1	1	0	3	1	0	0	1	0	6	0	0	15	1	0	0	2	20	1	24	1	0	0	0	0	0	0	0	4	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	4	10	1	0	0	3	0	0	0	1	0
15	1	2	4	5	5	0	5	0	0	40	22	5	15	0	10	13	13	10	0	2	0	0	3	2	8	61	10	2	4	0	9	1	4	3	7	1	1	1	8	1	3	3	1	0	17	5	3	4	1	1	8	14	0	0	0	0	24	1	2	0	52	1	0	0	2	1	26	1	15	1	0	0	23	1	3	16	0	115	68	1	0	2	5	11	1	2	0	4	3	7	2	1	64	0	12	2	62	6	0	2	1	21	15	5	31	2	4	16	3	3	1	28	0	22	1	17	0	1	4	11	2	0	14	3	0	0	0	0	0	1	0	4	7	0	0	2	0	5	7	7	0	2	6	1	0	17	6	7	1	10	0	35	4	0	77	26	4	11	4	49	3	75	19	1	0	0	3	0	1	9	4	1	1	4	0	0	0	15	15	0	2	2	0	0	1	0	0	18	20	8	0	2	22	3	1	2	3	1
17.5	0	0	0	2	0	0	1	0	0	1	0	1	0	0	0	1	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	4	0	0	0	0	0	0	0	0	0	6	0	1	0	0	1	0	0	1	0	0	0	0	2	0	0	1	0	1	0	0	0	3	0	0	0	4	0	0	0	0	3	0	0	2	0	0	0	0	0	0	1	0	4	0	0	0	0	0	1	0	0	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	3	0	0	2	1	1	6	1	5	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	2	2	0	0	0	3	0	0	0	1	0
20	0	0	3	4	6	0	4	0	0	3	1	1	4	0	6	16	8	11	0	0	0	1	1	1	4	47	1	0	4	0	0	1	1	3	1	0	0	0	7	0	0	2	1	0	2	4	2	3	3	0	1	3	0	1	0	1	20	0	1	0	24	0	0	0	0	0	2	2	2	1	0	1	11	0	1	5	0	27	43	0	0	3	5	8	1	0	0	2	6	4	0	0	40	1	2	0	47	0	0	0	0	14	18	0	2	2	2	4	3	3	0	14	0	22	1	5	0	7	0	5	0	0	10	2	0	0	0	0	2	1	0	4	3	0	0	0	0	0	4	4	0	0	2	1	0	10	3	2	0	3	0	15	1	0	38	3	1	13	7	28	1	33	0	2	0	0	3	0	1	3	2	1	0	5	0	0	0	10	15	0	4	1	0	1	0	0	0	17	11	5	1	0	18	0	0	0	3	0
22.5	0	0	0	0	0	0	1	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	4	2	0	0	0	0	1	0	0	0	1	0	0	0	0	4	0	0	0	2	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	3	0	0	0	1	0	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	4	0	0	0	3	0	0	10	0	0	1	0	19	0	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7	0	0	0	2	0	0	0	0	0
25	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	8	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	6	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	0	0	8	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0
