time	acanthaceae	achariaceae	actinidiaceae	adoxaceae	alismataceae	alstroemeriaceae	altingiaceae	amaranthaceae	amaryllidaceae	anacardiaceae	annonaceae	apiaceae	apocynaceae	aponogetonaceae	aquifoliaceae	araceae	araliaceae	arecaceae	aristolochiaceae	asparagaceae	asphodelaceae	asteliaceae	asteraceae	atherospermataceae	berberidaceae	betulaceae	bignoniaceae	bixaceae	boraginaceae	brassicaceae	burseraceae	butomaceae	buxaceae	cabombaceae	calophyllaceae	calycanthaceae	campanulaceae	canellaceae	cannabaceae	cannaceae	capparaceae	caprifoliaceae	caryophyllaceae	casuarinaceae	celastraceae	ceratophyllaceae	cercidiphyllaceae	chrysobalanaceae	cleomaceae	clethraceae	clusiaceae	combretaceae	commelinaceae	connaraceae	convolvulaceae	coriariaceae	cornaceae	cucurbitaceae	cunoniaceae	cyclanthaceae	cyperaceae	cyrillaceae	diapensiaceae	dichapetalaceae	dilleniaceae	dioscoreaceae	dipterocarpaceae	droseraceae	ebenaceae	elaeagnaceae	elaeocarpaceae	elatinaceae	ericaceae	erythroxylaceae	eucommiaceae	euphorbiaceae	eupteleaceae	fabaceae	fagaceae	garryaceae	gentianaceae	grossulariaceae	haloragaceae	hamamelidaceae	heliconiaceae	hernandiaceae	humiriaceae	hydrangeaceae	hydrocharitaceae	hypericaceae	icacinaceae	iteaceae	juglandaceae	juncaceae	lamiaceae	lardizabalaceae	lauraceae	lecythidaceae	linaceae	loganiaceae	loranthaceae	lythraceae	magnoliaceae	malpighiaceae	malvaceae	marantaceae	melastomataceae	meliaceae	menispermaceae	menyanthaceae	monimiaceae	moraceae	musaceae	myricaceae	myristicaceae	myrtaceae	nelumbonaceae	nothofagaceae	nyctaginaceae	nymphaeaceae	ochnaceae	olacaceae	oleaceae	onagraceae	orchidaceae	oxalidaceae	pandanaceae	papaveraceae	passifloraceae	paulowniaceae	pedaliaceae	pentaphylacaceae	phyllanthaceae	phytolaccaceae	picrodendraceae	piperaceae	pittosporaceae	plantaginaceae	platanaceae	poaceae	Polemoniaceae	polygalaceae	polygonaceae	pontederiaceae	posidoniaceae	potamogetonaceae	primulaceae	proteaceae	putranjivaceae	ranunculaceae	Restionaceae	rhamnaceae	rhizophoraceae	ripogonaceae	rosaceae	rubiaceae	ruppiaceae	rutaceae	sabiaceae	salicaceae	santalaceae	sapindaceae	sapotaceae	saururaceae	saxifragaceae	scheuchzeriaceae	schisandraceae	schoepfiaceae	scrophulariaceae	simaroubaceae	smilacaceae	solanaceae	stachyuraceae	staphyleaceae	stemonaceae	strasburgeriaceae	strelitziaceae	styracaceae	symplocaceae	tapisciaceae	theaceae	thymelaeaceae	ticodendraceae	torricelliaceae	trigoniaceae	Triuridaceae	trochodendraceae	typhaceae	ulmaceae	urticaceae	verbenaceae	violaceae	vitaceae	vochysiaceae	winteraceae	xyridaceae	zingiberaceae	zygophyllaceae
5	3	0	2	10	7	0	5	8	0	6	1	5	5	0	9	7	8	11	0	0	0	0	9	1	3	26	1	0	4	0	1	0	1	2	1	0	1	0	6	0	1	4	10	0	1	3	2	2	0	0	2	9	2	2	0	2	14	1	5	0	61	0	0	1	0	0	7	0	0	1	1	2	18	0	1	10	0	82	53	0	1	2	8	5	0	0	1	0	11	8	2	0	40	0	21	0	23	0	0	0	0	14	6	0	11	0	0	3	2	3	0	6	0	8	0	6	0	3	0	6	0	3	4	2	0	1	0	1	0	1	0	3	1	1	0	1	2	6	1	3	0	0	13	1	0	22	3	10	0	21	0	12	2	0	46	7	0	8	4	21	1	28	2	1	0	1	1	0	0	2	1	4	1	4	1	0	0	3	7	0	2	2	0	0	0	0	0	14	10	6	0	6	11	0	0	0	1	1
10	0	0	2	10	5	0	7	1	0	22	6	4	3	0	14	12	8	3	1	0	0	0	3	1	5	83	1	0	8	1	2	1	3	4	2	0	0	0	8	0	0	6	4	0	9	8	1	1	1	2	0	15	0	0	0	4	25	1	0	0	39	1	0	0	0	1	27	3	7	0	1	0	24	0	1	12	1	97	123	1	0	2	6	8	1	0	1	3	6	5	0	0	52	0	10	0	46	4	1	4	2	26	11	1	6	0	1	3	6	4	0	15	0	18	0	3	1	3	1	10	0	0	16	1	0	1	0	0	0	0	2	5	3	0	0	0	1	1	6	13	0	0	6	0	0	25	5	2	0	3	0	26	1	0	57	4	1	12	9	52	4	55	6	0	0	0	3	0	0	8	4	3	0	7	0	1	0	5	13	0	4	2	0	0	1	0	1	14	17	5	1	5	14	0	0	0	2	0
15	1	2	4	6	5	0	6	0	0	41	22	6	16	0	11	16	16	11	0	2	0	0	4	2	8	70	10	2	4	0	9	2	5	3	7	1	1	1	9	1	3	4	1	0	17	6	3	4	1	1	8	15	1	1	0	0	28	1	2	0	54	1	0	0	2	1	26	3	16	1	0	0	25	1	3	16	0	122	85	1	0	3	7	13	1	2	1	4	6	8	2	1	66	0	12	2	77	6	0	2	1	24	15	5	32	2	4	17	3	4	1	31	0	25	1	17	0	1	4	11	2	0	17	3	0	0	0	0	0	1	1	4	8	0	0	2	0	5	8	7	0	2	7	1	0	18	6	7	1	10	0	37	4	0	86	26	4	11	5	57	4	91	20	1	0	0	3	0	1	9	7	1	1	4	1	0	0	15	15	0	2	2	0	0	1	0	0	19	24	9	0	2	23	3	1	2	3	1
20	0	0	3	4	6	0	4	0	0	4	1	1	4	0	6	16	8	12	0	1	0	1	1	1	4	47	1	0	4	0	0	1	1	3	1	0	1	0	7	0	0	2	1	0	2	5	2	3	3	0	1	3	0	1	0	1	20	0	1	0	24	0	0	0	0	0	2	2	2	1	6	1	12	0	1	5	0	27	43	0	0	3	5	9	1	0	1	2	6	4	0	0	41	1	2	0	49	0	0	0	0	14	18	0	4	2	2	4	3	3	0	14	0	23	1	5	0	7	0	5	0	0	10	2	0	0	0	0	2	1	0	4	3	0	0	0	0	0	4	4	0	0	2	1	0	10	3	2	0	3	0	16	1	0	38	3	1	15	7	31	1	34	0	2	0	0	3	0	1	3	2	1	0	5	0	0	0	10	15	0	4	1	0	1	0	0	0	19	11	5	1	0	19	0	0	0	3	0
25	0	0	0	0	0	1	1	0	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	13	1	0	0	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	9	8	0	0	0	0	1	0	0	0	2	0	0	0	0	9	0	0	0	10	0	0	0	0	1	3	0	1	0	0	1	0	0	0	0	0	6	0	0	0	2	0	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	1	0	4	0	0	0	4	0	0	13	0	0	1	0	19	0	8	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	11	0	0	0	3	0	0	0	0	0
30	1	0	4	3	3	0	6	0	0	6	4	0	4	1	3	9	15	4	0	0	0	0	1	1	10	35	1	0	1	1	1	1	2	4	3	0	0	0	3	1	1	2	1	0	0	2	2	0	2	0	1	6	0	0	0	0	19	3	1	0	17	0	0	0	0	1	0	1	2	2	1	0	5	0	1	1	0	14	57	0	0	12	3	13	0	0	1	3	9	3	1	0	43	0	5	1	35	1	0	0	1	12	16	1	7	0	1	1	2	2	0	9	0	14	1	2	3	1	0	1	0	0	4	1	0	0	0	0	0	0	0	6	3	0	0	0	0	3	4	1	0	0	1	1	0	5	2	0	0	3	1	14	1	0	41	1	0	7	6	15	1	35	1	1	0	0	2	0	1	3	2	2	0	5	0	0	1	5	8	0	3	0	0	0	0	0	1	8	14	5	0	1	15	0	0	0	1	0
35	1	0	0	5	1	0	6	0	0	12	2	0	4	0	4	5	1	11	0	1	0	0	0	0	2	43	3	0	1	0	0	0	0	4	0	0	0	0	3	0	0	4	0	1	3	1	3	0	0	0	0	1	0	0	0	0	8	1	5	0	4	0	0	0	2	2	0	0	4	2	4	0	15	0	0	4	1	18	38	1	0	1	0	11	0	0	1	1	2	1	1	0	29	0	2	0	49	0	0	0	0	5	5	1	14	0	0	1	3	1	0	6	0	14	1	2	1	6	0	5	0	0	5	2	0	0	1	0	0	0	0	1	0	0	0	0	0	1	10	3	0	0	1	0	0	4	0	5	0	0	0	9	0	0	29	4	0	0	2	19	0	30	2	0	0	0	2	0	0	4	3	0	0	2	0	0	0	5	2	0	5	0	0	0	0	0	1	6	17	0	1	0	7	0	0	0	1	0
40	0	0	1	4	0	0	3	0	0	9	0	0	1	0	2	1	2	5	1	0	0	0	0	1	3	4	0	0	1	0	2	0	0	2	0	0	0	0	1	0	0	1	2	0	2	0	0	0	0	1	0	0	0	0	1	0	4	2	2	0	6	0	0	0	0	0	2	1	1	0	0	0	0	0	0	3	1	12	20	0	0	1	0	2	0	0	1	2	3	1	8	0	9	1	0	0	14	0	0	0	0	5	0	0	3	0	0	2	7	0	1	8	0	3	0	2	1	0	0	1	1	0	3	0	0	0	0	0	0	0	0	8	0	0	0	0	1	0	3	1	0	0	0	0	0	5	0	3	0	0	0	5	0	0	11	0	0	8	0	10	0	13	1	1	0	0	0	0	0	1	1	1	0	1	0	0	0	2	1	0	3	2	0	0	0	0	0	1	2	0	1	0	5	0	1	0	2	0
45	0	0	3	2	0	0	4	0	0	10	4	0	2	1	1	3	9	6	1	1	1	0	1	0	1	12	0	0	0	0	5	0	0	1	0	0	0	0	3	0	1	0	2	0	7	1	4	0	0	0	0	2	0	0	0	0	12	0	1	0	6	0	0	0	0	0	0	0	4	0	0	0	3	0	0	5	0	19	27	0	1	1	0	5	0	0	0	2	2	0	11	0	21	0	0	0	36	0	0	0	1	3	10	1	5	0	0	2	19	0	0	14	2	4	0	9	2	2	0	1	0	1	4	0	0	1	0	0	1	0	0	4	0	0	0	0	0	0	14	2	0	1	0	0	0	1	0	11	0	0	0	14	0	0	9	1	0	6	8	19	0	21	2	1	1	0	4	1	0	1	2	1	0	0	0	0	0	1	3	2	8	2	1	1	0	0	0	1	6	0	0	0	11	0	0	0	0	0
50	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	5	3	0	0	0	0	2	0	0	0	1	0	0	0	1	3	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	2	0	0	0	1	0	0	0	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	1	0	1	0	6	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
